
> school-attendance-web@0.1.0 dev
> next dev --port 3000

▲ Next.js 16.2.12 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.135:3000
✓ Ready in 567ms

 GET /dashboard 200 in 50ms (next.js: 6ms, proxy.ts: 4ms, application-code: 40ms)
 GET /leave-requests 200 in 320ms (next.js: 302ms, proxy.ts: 4ms, application-code: 14ms)
 GET /leave-requests 200 in 56ms (next.js: 5ms, proxy.ts: 3ms, application-code: 48ms)
 GET /login 200 in 134ms (next.js: 82ms, proxy.ts: 36ms, application-code: 16ms)
 GET /leave-requests 200 in 137ms (next.js: 49ms, proxy.ts: 36ms, application-code: 52ms)
 GET /login 200 in 99ms (next.js: 4ms, proxy.ts: 3ms, application-code: 92ms)
 GET /login 200 in 30ms (next.js: 5ms, proxy.ts: 4ms, application-code: 22ms)
 GET /leave-requests 200 in 68ms (next.js: 7ms, proxy.ts: 5ms, application-code: 56ms)
 GET /login 200 in 21ms (next.js: 4ms, proxy.ts: 4ms, application-code: 12ms)
 GET /login 200 in 31ms (next.js: 5ms, proxy.ts: 4ms, application-code: 21ms)
 GET /check-in 200 in 63ms (next.js: 43ms, proxy.ts: 2ms, application-code: 18ms)
 GET /check-in 200 in 19ms (next.js: 3ms, proxy.ts: 3ms, application-code: 13ms)
✓ Compiled in 86ms
 GET /check-in 200 in 135ms (next.js: 59ms, proxy.ts: 39ms, application-code: 36ms)
 GET /login 200 in 36ms (next.js: 11ms, proxy.ts: 3ms, application-code: 22ms)
 GET /check-in 200 in 94ms (next.js: 5ms, proxy.ts: 4ms, application-code: 86ms)
✓ Compiled in 86ms
 GET /check-in 200 in 135ms (next.js: 53ms, proxy.ts: 39ms, application-code: 44ms)
 GET /login 200 in 136ms (next.js: 76ms, proxy.ts: 40ms, application-code: 20ms)
 GET /check-in 200 in 88ms (next.js: 5ms, proxy.ts: 5ms, application-code: 77ms)
✓ Compiled in 58ms
 GET /check-in 200 in 134ms (next.js: 48ms, proxy.ts: 39ms, application-code: 47ms)
 GET /login 200 in 134ms (next.js: 74ms, proxy.ts: 39ms, application-code: 22ms)
 GET /check-in 200 in 81ms (next.js: 4ms, proxy.ts: 3ms, application-code: 73ms)
 GET /check-in 200 in 51ms (next.js: 5ms, proxy.ts: 4ms, application-code: 42ms)
 GET /check-in 200 in 43ms (next.js: 6ms, proxy.ts: 5ms, application-code: 33ms)
 GET /login 200 in 23ms (next.js: 5ms, proxy.ts: 4ms, application-code: 14ms)
 GET /login 200 in 21ms (next.js: 4ms, proxy.ts: 3ms, application-code: 15ms)
 GET /login 200 in 53ms (next.js: 4ms, proxy.ts: 4ms, application-code: 45ms)
 GET /dashboard 200 in 29ms (next.js: 11ms, proxy.ts: 3ms, application-code: 16ms)
 GET /dashboard 200 in 22ms (next.js: 4ms, proxy.ts: 4ms, application-code: 14ms)
 GET /dashboard 200 in 67ms (next.js: 4ms, proxy.ts: 3ms, application-code: 60ms)
 GET /student-accounts 200 in 74ms (next.js: 45ms, proxy.ts: 4ms, application-code: 25ms)
 GET /login 200 in 18ms (next.js: 5ms, proxy.ts: 4ms, application-code: 10ms)
 GET /login 200 in 20ms (next.js: 5ms, proxy.ts: 3ms, application-code: 12ms)
 GET /dashboard 200 in 21ms (next.js: 4ms, proxy.ts: 2ms, application-code: 14ms)
 GET /dashboard 200 in 26ms (next.js: 3ms, proxy.ts: 2ms, application-code: 20ms)
 GET /leave-requests 200 in 33ms (next.js: 16ms, proxy.ts: 3ms, application-code: 15ms)
 GET /attendance 200 in 82ms (next.js: 55ms, proxy.ts: 4ms, application-code: 23ms)
 GET /student-accounts 200 in 20ms (next.js: 5ms, proxy.ts: 3ms, application-code: 13ms)
 GET /login 200 in 38ms (next.js: 6ms, proxy.ts: 5ms, application-code: 26ms)
 GET /login 200 in 39ms (next.js: 20ms, proxy.ts: 5ms, application-code: 14ms)
 GET /check-in 200 in 21ms (next.js: 4ms, proxy.ts: 3ms, application-code: 14ms)
 GET /check-in 200 in 22ms (next.js: 5ms, proxy.ts: 4ms, application-code: 13ms)
 GET /login 200 in 41ms (next.js: 6ms, proxy.ts: 8ms, application-code: 27ms)
 GET /login 200 in 42ms (next.js: 21ms, proxy.ts: 7ms, application-code: 14ms)
 GET /dashboard 200 in 19ms (next.js: 4ms, proxy.ts: 2ms, application-code: 13ms)
 GET /dashboard 200 in 19ms (next.js: 3ms, proxy.ts: 2ms, application-code: 14ms)
✓ Compiled in 109ms
 GET /dashboard 200 in 230ms (next.js: 48ms, proxy.ts: 33ms, application-code: 149ms)
 GET /login 200 in 230ms (next.js: 120ms, proxy.ts: 34ms, application-code: 76ms)
 GET /dashboard 200 in 177ms (next.js: 5ms, proxy.ts: 5ms, application-code: 168ms)
 GET /login 200 in 178ms (next.js: 26ms, proxy.ts: 4ms, application-code: 148ms)
 GET /dashboard 200 in 139ms (next.js: 15ms, proxy.ts: 13ms, application-code: 111ms)
 GET /dashboard 200 in 139ms (next.js: 31ms, proxy.ts: 13ms, application-code: 96ms)
 GET /dashboard 200 in 141ms (next.js: 46ms, proxy.ts: 13ms, application-code: 82ms)
 GET /login 200 in 136ms (next.js: 64ms, proxy.ts: 12ms, application-code: 61ms)
 GET /login 200 in 135ms (next.js: 82ms, proxy.ts: 14ms, application-code: 40ms)
 GET /login 200 in 135ms (next.js: 95ms, proxy.ts: 14ms, application-code: 27ms)
 GET /student-accounts 200 in 73ms (next.js: 46ms, proxy.ts: 4ms, application-code: 23ms)
 GET /students 200 in 79ms (next.js: 52ms, proxy.ts: 4ms, application-code: 23ms)
 GET /dashboard 200 in 27ms (next.js: 5ms, proxy.ts: 4ms, application-code: 17ms)
 GET /attendance 200 in 82ms (next.js: 55ms, proxy.ts: 4ms, application-code: 24ms)
 GET /leave-requests 200 in 28ms (next.js: 11ms, proxy.ts: 3ms, application-code: 14ms)
 GET /attendance 200 in 23ms (next.js: 6ms, proxy.ts: 4ms, application-code: 14ms)
✓ Compiled in 646ms
 GET /attendance 200 in 243ms (next.js: 53ms, proxy.ts: 38ms, application-code: 151ms)
 GET /login 200 in 247ms (next.js: 121ms, proxy.ts: 38ms, application-code: 89ms)
 GET /attendance 200 in 223ms (next.js: 5ms, proxy.ts: 4ms, application-code: 214ms)
 GET /login 200 in 257ms (next.js: 26ms, proxy.ts: 4ms, application-code: 228ms)
 GET /attendance 200 in 239ms (next.js: 19ms, proxy.ts: 31ms, application-code: 190ms)
 GET /attendance 200 in 239ms (next.js: 35ms, proxy.ts: 31ms, application-code: 172ms)
 GET /attendance 200 in 240ms (next.js: 52ms, proxy.ts: 32ms, application-code: 156ms)
 GET /attendance 200 in 240ms (next.js: 77ms, proxy.ts: 18ms, application-code: 144ms)
 GET /login 200 in 236ms (next.js: 98ms, proxy.ts: 14ms, application-code: 124ms)
 GET /login 200 in 237ms (next.js: 112ms, proxy.ts: 15ms, application-code: 110ms)
 GET /login 200 in 250ms (next.js: 139ms, proxy.ts: 15ms, application-code: 96ms)
 GET /login 200 in 252ms (next.js: 126ms, proxy.ts: 16ms, application-code: 111ms)
 GET /attendance 200 in 247ms (next.js: 71ms, proxy.ts: 96ms, application-code: 80ms)
